
Minimum time:  1461	(0.37327 ms)

Test #		Time
1:		1616	(0.41287 ms)
2:		1483	(0.37889 ms)
3:		1482	(0.378635 ms)
4:		1476	(0.377102 ms)
5:		1476	(0.377102 ms)
6:		1467	(0.374802 ms)
7:		1474	(0.376591 ms)
8:		1477	(0.377357 ms)
9:		1474	(0.376591 ms)
10:		1462	(0.373525 ms)
11:		1479	(0.377868 ms)
12:		1487	(0.379912 ms)
13:		1496	(0.382212 ms)
14:		1481	(0.378379 ms)
15:		1503	(0.384 ms)
16:		1533	(0.391665 ms)
17:		1522	(0.388854 ms)
18:		1526	(0.389876 ms)
19:		1490	(0.380679 ms)
20:		1485	(0.379401 ms)
21:		1494	(0.381701 ms)
22:		1502	(0.383745 ms)
23:		1486	(0.379657 ms)
24:		1489	(0.380423 ms)
25:		1488	(0.380168 ms)
26:		1504	(0.384256 ms)
27:		1465	(0.374291 ms)
28:		1475	(0.376846 ms)
29:		1483	(0.37889 ms)
30:		1473	(0.376335 ms)
31:		1467	(0.374802 ms)
32:		1469	(0.375313 ms)
33:		1478	(0.377613 ms)
34:		1524	(0.389365 ms)
35:		1500	(0.383234 ms)
36:		1481	(0.378379 ms)
37:		1477	(0.377357 ms)
38:		1510	(0.385788 ms)
39:		1492	(0.38119 ms)
40:		1491	(0.380934 ms)
41:		1499	(0.382978 ms)
42:		1496	(0.382212 ms)
43:		1479	(0.377868 ms)
44:		1461	(0.37327 ms)
45:		1482	(0.378635 ms)
46:		1478	(0.377613 ms)
47:		1491	(0.380934 ms)
48:		1493	(0.381445 ms)
49:		1485	(0.379401 ms)
50:		1477	(0.377357 ms)
51:		1481	(0.378379 ms)
52:		1526	(0.389876 ms)
53:		1537	(0.392687 ms)
54:		1478	(0.377613 ms)
55:		1478	(0.377613 ms)
56:		1481	(0.378379 ms)
57:		1486	(0.379657 ms)
58:		1487	(0.379912 ms)
59:		1490	(0.380679 ms)
60:		1488	(0.380168 ms)
61:		1520	(0.388343 ms)
62:		1486	(0.379657 ms)
63:		1493	(0.381445 ms)
64:		1490	(0.380679 ms)
65:		1481	(0.378379 ms)
66:		1494	(0.381701 ms)
67:		1492	(0.38119 ms)
68:		1487	(0.379912 ms)
69:		1496	(0.382212 ms)
70:		1509	(0.385533 ms)
71:		1503	(0.384 ms)
72:		1492	(0.38119 ms)
73:		1488	(0.380168 ms)
74:		1498	(0.382723 ms)
75:		1499	(0.382978 ms)
76:		1496	(0.382212 ms)
77:		1494	(0.381701 ms)
78:		1489	(0.380423 ms)
79:		1496	(0.382212 ms)
80:		1513	(0.386555 ms)
81:		1479	(0.377868 ms)
82:		1485	(0.379401 ms)
83:		1490	(0.380679 ms)
84:		1491	(0.380934 ms)
85:		1485	(0.379401 ms)
86:		1482	(0.378635 ms)
87:		1489	(0.380423 ms)
88:		1493	(0.381445 ms)
89:		1500	(0.383234 ms)
90:		1478	(0.377613 ms)
91:		1496	(0.382212 ms)
92:		1489	(0.380423 ms)
93:		1483	(0.37889 ms)
94:		1487	(0.379912 ms)
95:		1491	(0.380934 ms)
96:		1492	(0.38119 ms)
97:		1493	(0.381445 ms)
98:		1487	(0.379912 ms)
99:		1488	(0.380168 ms)
100:		1486	(0.379657 ms)
101:		1498	(0.382723 ms)
102:		1482	(0.378635 ms)
103:		1494	(0.381701 ms)
104:		1484	(0.379146 ms)
105:		1536	(0.392431 ms)
106:		1482	(0.378635 ms)
107:		1485	(0.379401 ms)
108:		1494	(0.381701 ms)
109:		1493	(0.381445 ms)
110:		1481	(0.378379 ms)
111:		1494	(0.381701 ms)
112:		1506	(0.384767 ms)
113:		1494	(0.381701 ms)
114:		1490	(0.380679 ms)
115:		1479	(0.377868 ms)
116:		1490	(0.380679 ms)
117:		1493	(0.381445 ms)
118:		1489	(0.380423 ms)
119:		1520	(0.388343 ms)
120:		1495	(0.381956 ms)
121:		1495	(0.381956 ms)
122:		1490	(0.380679 ms)
123:		1487	(0.379912 ms)
124:		1495	(0.381956 ms)
125:		1520	(0.388343 ms)
126:		1513	(0.386555 ms)
127:		1489	(0.380423 ms)
128:		1501	(0.383489 ms)
129:		1488	(0.380168 ms)
130:		1498	(0.382723 ms)
131:		1495	(0.381956 ms)
132:		1493	(0.381445 ms)
133:		1491	(0.380934 ms)
134:		1484	(0.379146 ms)
135:		1510	(0.385788 ms)
136:		1479	(0.377868 ms)
137:		1484	(0.379146 ms)
138:		1488	(0.380168 ms)
139:		1487	(0.379912 ms)
140:		1484	(0.379146 ms)
141:		1487	(0.379912 ms)
142:		1485	(0.379401 ms)
143:		1494	(0.381701 ms)
144:		1602	(0.409293 ms)
145:		1495	(0.381956 ms)
146:		1484	(0.379146 ms)
147:		1484	(0.379146 ms)
148:		1479	(0.377868 ms)
149:		1482	(0.378635 ms)
150:		1489	(0.380423 ms)
151:		1487	(0.379912 ms)
152:		1479	(0.377868 ms)
153:		1486	(0.379657 ms)
154:		1500	(0.383234 ms)
155:		1486	(0.379657 ms)
156:		1505	(0.384511 ms)
157:		1481	(0.378379 ms)
158:		1488	(0.380168 ms)
159:		1511	(0.386044 ms)
160:		1493	(0.381445 ms)
161:		1480	(0.378124 ms)
162:		1517	(0.387577 ms)
163:		1481	(0.378379 ms)
164:		1488	(0.380168 ms)
165:		1485	(0.379401 ms)
166:		1490	(0.380679 ms)
167:		1487	(0.379912 ms)
168:		1488	(0.380168 ms)
169:		1480	(0.378124 ms)
170:		1491	(0.380934 ms)
171:		1493	(0.381445 ms)
172:		1495	(0.381956 ms)
173:		1477	(0.377357 ms)
174:		1490	(0.380679 ms)
175:		1512	(0.386299 ms)
176:		1499	(0.382978 ms)
177:		1479	(0.377868 ms)
178:		1508	(0.385277 ms)
179:		1495	(0.381956 ms)
180:		1520	(0.388343 ms)
181:		1483	(0.37889 ms)
182:		1510	(0.385788 ms)
183:		1508	(0.385277 ms)
184:		1499	(0.382978 ms)
185:		1492	(0.38119 ms)
186:		1483	(0.37889 ms)
187:		1489	(0.380423 ms)
188:		1494	(0.381701 ms)
189:		1601	(0.409038 ms)
190:		1471	(0.375824 ms)
191:		1481	(0.378379 ms)
192:		1583	(0.404439 ms)
193:		1484	(0.379146 ms)
194:		1479	(0.377868 ms)
195:		1480	(0.378124 ms)
196:		1485	(0.379401 ms)
197:		1483	(0.37889 ms)
198:		1515	(0.387066 ms)
199:		1481	(0.378379 ms)
200:		1495	(0.381956 ms)
201:		1495	(0.381956 ms)
202:		1492	(0.38119 ms)
203:		1481	(0.378379 ms)
204:		1494	(0.381701 ms)
205:		1497	(0.382467 ms)
206:		1491	(0.380934 ms)
207:		1484	(0.379146 ms)
208:		1513	(0.386555 ms)
209:		1515	(0.387066 ms)
210:		1492	(0.38119 ms)
211:		1486	(0.379657 ms)
212:		1495	(0.381956 ms)
213:		1494	(0.381701 ms)
214:		1514	(0.38681 ms)
215:		1493	(0.381445 ms)
216:		1888	(0.482363 ms)
217:		2194	(0.560543 ms)
218:		1479	(0.377868 ms)
219:		1486	(0.379657 ms)
220:		1480	(0.378124 ms)
221:		1478	(0.377613 ms)
222:		1474	(0.376591 ms)
223:		1484	(0.379146 ms)
224:		1535	(0.392176 ms)
225:		1502	(0.383745 ms)
226:		1483	(0.37889 ms)
227:		1490	(0.380679 ms)
228:		1494	(0.381701 ms)
229:		1509	(0.385533 ms)
230:		1482	(0.378635 ms)
231:		1490	(0.380679 ms)
232:		1495	(0.381956 ms)
233:		1488	(0.380168 ms)
234:		1562	(0.399074 ms)
235:		1497	(0.382467 ms)
236:		1533	(0.391665 ms)
237:		1486	(0.379657 ms)
238:		1491	(0.380934 ms)
239:		1482	(0.378635 ms)
240:		1489	(0.380423 ms)
241:		1490	(0.380679 ms)
242:		1490	(0.380679 ms)
243:		1482	(0.378635 ms)
244:		1497	(0.382467 ms)
245:		1509	(0.385533 ms)
246:		1498	(0.382723 ms)
247:		1480	(0.378124 ms)
248:		1492	(0.38119 ms)
249:		1492	(0.38119 ms)
250:		1493	(0.381445 ms)
251:		1475	(0.376846 ms)
252:		1531	(0.391154 ms)
253:		1518	(0.387832 ms)
254:		1499	(0.382978 ms)
255:		1511	(0.386044 ms)
256:		1487	(0.379912 ms)
257:		1499	(0.382978 ms)
258:		1489	(0.380423 ms)
259:		1484	(0.379146 ms)
260:		1492	(0.38119 ms)
261:		1492	(0.38119 ms)
262:		1493	(0.381445 ms)
263:		1498	(0.382723 ms)
264:		1499	(0.382978 ms)
265:		1488	(0.380168 ms)
266:		1486	(0.379657 ms)
267:		1485	(0.379401 ms)
268:		1474	(0.376591 ms)
269:		1500	(0.383234 ms)
270:		1533	(0.391665 ms)
271:		1497	(0.382467 ms)
272:		1497	(0.382467 ms)
273:		1497	(0.382467 ms)
274:		1496	(0.382212 ms)
275:		1493	(0.381445 ms)
276:		1493	(0.381445 ms)
277:		1489	(0.380423 ms)
278:		1488	(0.380168 ms)
279:		1501	(0.383489 ms)
280:		1504	(0.384256 ms)
281:		1485	(0.379401 ms)
282:		1501	(0.383489 ms)
283:		1493	(0.381445 ms)
284:		1541	(0.393709 ms)
285:		1480	(0.378124 ms)
286:		1490	(0.380679 ms)
287:		1490	(0.380679 ms)
288:		1497	(0.382467 ms)
289:		1481	(0.378379 ms)
290:		1494	(0.381701 ms)
291:		1489	(0.380423 ms)
292:		1496	(0.382212 ms)
293:		1487	(0.379912 ms)
294:		1487	(0.379912 ms)
295:		1510	(0.385788 ms)
296:		1482	(0.378635 ms)
297:		1490	(0.380679 ms)
298:		1485	(0.379401 ms)
299:		1493	(0.381445 ms)
300:		1491	(0.380934 ms)
301:		1495	(0.381956 ms)
